FROM	Chemical name	CAS No.	SMILES
PEC	2-Imidazolidinethione	96-45-7	S=C1NCCN1
PEC	2(3H)-Benzothiazolethione	149-30-4	S=C1Nc2ccccc2S1
PEC	Carbon sulfide ; Carbon disulfide	75-15-0	S=C=S
PEC	Cadmium sulfide	1306-23-6	S=[Cd]
PEC	"2,2′-Dibenzothiazyl disulfide ; 2,2′-Dithiobis(benzothiazole)"	120-78-5	S(Sc1sc2ccccc2n1)c3sc4ccccc4n3
PEC	Hydrogen sulfide	7783-06-4	S
PEC	White phosphorus	12185-10-3	P12P3P1P23
PEC	Lead oxide phosphonate (Pb3O2(HPO3))	12141-20-7	OP([O-])[O-].O=[Pb].O=[Pb].[Pb+2]
PEC	Hydrogen peroxide	7722-84-1	OO
PEC	2-Hydroxyethyl acrylate	818-61-1	OCCOC(=O)C=C
PEC	2-Furanmethanol ; Furfuryl alcohol	98-00-0	OCc1occc1
PEC	2-Propen-1-ol ; Allyl alcohol ; Vinylcarbinol	107-18-6	OCC=C
PEC	"2-Bromo-2-nitro-1,3-propanediol ; Bronopol"	52-51-7	OCC(Br)(CO)[N+]([O-])=O
PEC	2-Propyn-1-ol ; Propargyl alcohol	107-19-7	OCC#C
PEC	"[1,1'-Biphenyl]-2-ol ; o-Phenylphenol"	90-43-7	Oc1ccccc1c2ccccc2
PEC	Phenol ; Hydroxybenzene	108-95-2	Oc1ccccc1
PEC	"1,3-Benzenediol ; Resorcin ; Resorcinol"	108-46-3	Oc1cccc(O)c1
PEC	2-Naphthol ; 2-Naphthalenol ; β-Naphthol	135-19-3	Oc1ccc2ccccc2c1
PEC	1-pyrenol	5315-79-7	Oc1ccc2ccc3cccc4ccc1c2c34
PEC	"1,4-Benzenediol ; Hydroquinone"	123-31-9	Oc1ccc(O)cc1
PEC	"9,9-Bis(4-hydroxyphenyl)fluorene"	3236-71-3	Oc1ccc(cc1)C2(c3ccc(O)cc3)c4ccccc4c5ccccc25
PEC	"5-Chloro-2-(2,4-dichlorophenoxy)phenol ; Triclosan"	3380-34-5	Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
PEC	"2,4,6-Trinitrophenol ; Picric acid"	88-89-1	Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O
PEC	Formic acid	64-18-6	OC=O
PEC	"1,3-Dichloro-2-propanol"	96-23-1	OC(CCl)CCl
PEC	2-Thioglycolic acid ; Thioglycolic acid ; Mercaptoacetic acid	68-11-1	OC(=O)CS
PEC	"Nitrilo-2,2',2''-triacetic acid ; Nitrilotriacetic acid"	139-13-9	OC(=O)CN(CC(O)=O)CC(O)=O
PEC	Chloroacetic acid	79-11-8	OC(=O)CCl
PEC	2-Propenoic acid ; Acrylic acid	79-10-7	OC(=O)C=C
PEC	"Boric acid, crude natural"	10043-35-3	OB(O)O
PEC	Orange lead	1314-41-6	O1[Pb]O[Pb]2O[Pb]1O2
PEC	Glutaraldehyde	111-30-8	O=CCCCC=O
PEC	2-Furancarboxyaldehyde ; 2-Furaldehyde	98-01-1	O=Cc1occc1
PEC	"1,2-Benzisothiazol-3(2H)-one"	2634-33-5	O=C1NSc2ccccc12
PEC	"1,3,5-Tris(oxiranylmethyl)-1,3,5-triazine-2,4,6(1H,3H,5H)-trione"	2451-62-9	O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4
PEC	"1-Cyclohexyl-1H-pyrrole-2,5-dione"	1631-25-0	O=C1C=CC(=O)N1C2CCCCC2
PEC	Hexamethylene diisocyanate	822-06-0	O=C=NCCCCCCN=C=O
PEC	"2,2‘-Methylenediphenyl diisocyanate"	2536-05-2	O=C=Nc1ccccc1Cc2ccccc2N=C=O
PEC	"2,4‘-Methylenediphenyl diisocyanate"	5873-54-1	O=C=Nc1ccc(Cc2ccccc2N=C=O)cc1
PEC	Diphenyl methane diisocyanate	101-68-8	O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1
PEC	"1,1'-Methylenebis[4-isocyanatocyclohexane]"	5124-30-1	O=C=NC1CCC(CC1)CC2CCC(CC2)N=C=O
PEC	Benzoyl peroxide	94-36-0	O=C(OOC(=O)c1ccccc1)c2ccccc2
PEC	Diboron trioxide	1303-86-2	O=BOB=O
PEC	Zinc oxide	1314-13-2	O=[Zn]
PEC	Quartz (SiO2)	14808-60-7	O=[Si]=O
PEC	"1,2-Oxathiolane, 2,2-dioxide ; 1,3-Propanesultone"	1120-71-4	O=[S]1(=O)CCCO1
PEC	Lead dioxide	1309-60-0	O=[Pb]=O
PEC	Lead monoxide	1317-36-8	O=[Pb]
PEC	Diphosphorus pentaoxide	1314-56-3	O=[P]12O[P]3(=O)O[P](=O)(O1)O[P](=O)(O2)O3
PEC	Triphenyl phosphate	115-86-6	O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3
PEC	Tri(aziridin-1-yl)phosphine oxide ; Aphoxide	545-55-1	O=[P](N1CC1)(N2CC2)N3CC3
PEC	Nickel dioxide	12035-36-8	O=[Ni]O[Ni]=O
PEC	Nickel monoxide	1313-99-1	O=[Ni]
PEC	Copper monoxide	1317-38-0	O=[Cu]
PEC	Chromium trioxide	1333-82-0	O=[Cr](=O)=O
PEC	Cobalt monooxide	1307-96-6	O=[Co]
PEC	Cadimium oxide	1306-19-0	O=[Cd]
PEC	Fuming sulphuric acid	8014-95-7	O[S](O)(=O)=O.O=[S](=O)=O
PEC	Sulfuric acid	7664-93-9	O[S](O)(=O)=O
PEC	Chlorosulfuric acid	7790-94-5	O[S](Cl)(=O)=O
PEC	Nitric acid ; Aqua fortis	7697-37-2	O[N+]([O-])=O
